Trip_ID,Port,Fork_length,Weight
MH_3,Musgrave_Harbour,,
MH_4,Musgrave_Harbour,28.5,190
MH_4,Musgrave_Harbour,28,165
MH_4,Musgrave_Harbour,27,195
MH_4,Musgrave_Harbour,29.5,240
MH_4,Musgrave_Harbour,29,200
MH_4,Musgrave_Harbour,30,260
MH_4,Musgrave_Harbour,25.5,160
MH_4,Musgrave_Harbour,28,210
MH_4,Musgrave_Harbour,27,180
MH_4,Musgrave_Harbour,26,160
MH_4,Musgrave_Harbour,27,210
MH_4,Musgrave_Harbour,28.5,200
MH_4,Musgrave_Harbour,26,185
MH_4,Musgrave_Harbour,27,180
MH_4,Musgrave_Harbour,25.5,160
MH_4,Musgrave_Harbour,28.5,185
MH_4,Musgrave_Harbour,26,150
MH_4,Musgrave_Harbour,27,215
MH_4,Musgrave_Harbour,27,180
MH_4,Musgrave_Harbour,30,250
BdV_5,Baie_de_Verde,28,220
BdV_4,Baie_de_Verde,31.5,330
BdV_4,Baie_de_Verde,33,360
BdV_4,Baie_de_Verde,31.5,300
BdV_4,Baie_de_Verde,32,350
BdV_4,Baie_de_Verde,28,205
BdV_4,Baie_de_Verde,28,220
BdV_4,Baie_de_Verde,29,255
BdV_4,Baie_de_Verde,30.5,280
BdV_4,Baie_de_Verde,31.25,295
BdV_4,Baie_de_Verde,29,250
BdV_4,Baie_de_Verde,33.5,420
BdV_4,Baie_de_Verde,31,290
BdV_4,Baie_de_Verde,30.5,315
BdV_4,Baie_de_Verde,31.5,310
BdV_4,Baie_de_Verde,32,340
BdV_4,Baie_de_Verde,33,310
BdV_4,Baie_de_Verde,29.5,340
BdV_4,Baie_de_Verde,31.5,240
BdV_4,Baie_de_Verde,28,280
BdV_4,Baie_de_Verde,32,265
MH_5,Musgrave_Harbour,26,170
MH_6,Musgrave_Harbour,27.5,190
MH_6,Musgrave_Harbour,26,160
MH_6,Musgrave_Harbour,27,205
MH_6,Musgrave_Harbour,25,140
MH_6,Musgrave_Harbour,29,210
MH_6,Musgrave_Harbour,25.5,150
MH_6,Musgrave_Harbour,26,180
MH_6,Musgrave_Harbour,27.5,175
MH_6,Musgrave_Harbour,27,185
MH_6,Musgrave_Harbour,26,165
MH_6,Musgrave_Harbour,28,220
MH_6,Musgrave_Harbour,27,210
MH_6,Musgrave_Harbour,27.5,190
MH_6,Musgrave_Harbour,27,165
MH_6,Musgrave_Harbour,26.5,200
MH_6,Musgrave_Harbour,26.5,160
MH_6,Musgrave_Harbour,29.5,230
MH_6,Musgrave_Harbour,27.5,190
MH_6,Musgrave_Harbour,25.5,160
MH_6,Musgrave_Harbour,27,180
BdV_6,Baie_de_Verde,29,260
BdV_6,Baie_de_Verde,29,210
BdV_6,Baie_de_Verde,28,195
BdV_6,Baie_de_Verde,28.5,210
BdV_6,Baie_de_Verde,28,230
BdV_6,Baie_de_Verde,29,230
BdV_6,Baie_de_Verde,29,205
BdV_6,Baie_de_Verde,30,245
BdV_6,Baie_de_Verde,30.5,260
BdV_6,Baie_de_Verde,28.5,225
BdV_6,Baie_de_Verde,29.5,220
BdV_6,Baie_de_Verde,27,190
BdV_6,Baie_de_Verde,31,290
BdV_6,Baie_de_Verde,28,200
BdV_6,Baie_de_Verde,27,200
BdV_6,Baie_de_Verde,30.5,250
BdV_6,Baie_de_Verde,30,265
BdV_6,Baie_de_Verde,31,240
BdV_6,Baie_de_Verde,31,280
BdV_6,Baie_de_Verde,33,310
MH_7,Musgrave_Harbour,27,170
MH_7,Musgrave_Harbour,27,185
MH_7,Musgrave_Harbour,27.5,190
MH_7,Musgrave_Harbour,26.5,150
MH_7,Musgrave_Harbour,25.5,160
MH_7,Musgrave_Harbour,27.5,170
MH_7,Musgrave_Harbour,26,160
MH_7,Musgrave_Harbour,27,175
MH_7,Musgrave_Harbour,26,175
MH_7,Musgrave_Harbour,26,160
MH_7,Musgrave_Harbour,25.5,155
MH_7,Musgrave_Harbour,26,185
MH_7,Musgrave_Harbour,27,185
MH_7,Musgrave_Harbour,26,160
MH_7,Musgrave_Harbour,28,170
MH_7,Musgrave_Harbour,27,170
MH_7,Musgrave_Harbour,30.5,240
MH_7,Musgrave_Harbour,27.5,180
MH_7,Musgrave_Harbour,26.5,185
MH_7,Musgrave_Harbour,27,180
BdV_7,Baie_de_Verde,,
BdV_8_N1,Baie_de_Verde,31,260
BdV_8_N1,Baie_de_Verde,31.5,305
BdV_8_N1,Baie_de_Verde,31,300
BdV_8_N1,Baie_de_Verde,32,300
BdV_8_N1,Baie_de_Verde,30,255
BdV_8_N1,Baie_de_Verde,31,280
BdV_8_N1,Baie_de_Verde,33,355
BdV_8_N1,Baie_de_Verde,29,210
BdV_8_N1,Baie_de_Verde,28,210
BdV_8_N1,Baie_de_Verde,29,210
BdV_8_N1,Baie_de_Verde,33,360
BdV_8_N1,Baie_de_Verde,32,350
BdV_8_N1,Baie_de_Verde,33,375
BdV_8_N1,Baie_de_Verde,28,220
BdV_8_N1,Baie_de_Verde,32,310
BdV_8_N1,Baie_de_Verde,31,290
BdV_8_N1,Baie_de_Verde,30,260
BdV_8_N1,Baie_de_Verde,34.5,350
BdV_8_N1,Baie_de_Verde,26.5,215
BdV_8_N1,Baie_de_Verde,32,310
BdV_8_N2,Baie_de_Verde,34.5,260
BdV_8_N2,Baie_de_Verde,28,240
BdV_8_N2,Baie_de_Verde,27,220
BdV_8_N2,Baie_de_Verde,28,250
BdV_8_N2,Baie_de_Verde,31,390
BdV_8_N2,Baie_de_Verde,29,290
BdV_8_N2,Baie_de_Verde,33.5,380
BdV_8_N2,Baie_de_Verde,34,380
BdV_8_N2,Baie_de_Verde,33,355
BdV_8_N2,Baie_de_Verde,28,255
BdV_8_N2,Baie_de_Verde,34,400
BdV_8_N2,Baie_de_Verde,34,425
BdV_8_N2,Baie_de_Verde,32,290
BdV_8_N2,Baie_de_Verde,31,270
BdV_8_N2,Baie_de_Verde,33,380
BdV_8_N2,Baie_de_Verde,32,275
BdV_8_N2,Baie_de_Verde,32,290
BdV_8_N2,Baie_de_Verde,32,280
BdV_8_N2,Baie_de_Verde,26,190
BdV_8_N2,Baie_de_Verde,28.5,250
MH_8,Musgrave_Harbour,,
MH_9,Musgrave_Harbour,27,170
MH_9,Musgrave_Harbour,26.5,180
MH_9,Musgrave_Harbour,28.5,225
MH_9,Musgrave_Harbour,25.5,160
MH_9,Musgrave_Harbour,26,185
MH_9,Musgrave_Harbour,26,180
